Chris Brunt,https://www.transfermarkt.co.uk/chris-brunt/profil/spieler/36814
Chris Eagles,https://www.transfermarkt.co.uk/chris-eagles/profil/spieler/24635
Chris Kirkland,https://www.transfermarkt.co.uk/chris-kirkland/profil/spieler/3219
Chris Smalling,https://www.transfermarkt.co.uk/chris-smalling/profil/spieler/103427
Chris Wood,https://www.transfermarkt.co.uk/chris-wood/profil/spieler/108725
Christian Benteke,https://www.transfermarkt.co.uk/christian-benteke/profil/spieler/50201
Christian Eriksen,https://www.transfermarkt.co.uk/christian-eriksen/profil/spieler/69633
Christian Fuchs,https://www.transfermarkt.co.uk/christian-fuchs/profil/spieler/6636
Christian Poulsen,https://www.transfermarkt.co.uk/christian-poulsen/profil/spieler/1443
Christian Pulisic,https://www.transfermarkt.co.uk/christian-pulisic/profil/spieler/315779
Claudio Bravo,https://www.transfermarkt.co.uk/claudio-bravo/profil/spieler/40423
Clint Dempsey,https://www.transfermarkt.co.uk/clint-dempsey/profil/spieler/27577
Cody Gakpo,https://www.transfermarkt.co.uk/cody-gakpo/profil/spieler/434675
Craig Bellamy,https://www.transfermarkt.co.uk/craig-bellamy/profil/spieler/3297
Craig Dawson,https://www.transfermarkt.co.uk/craig-dawson/profil/spieler/121477
Cristiano Ronaldo,https://www.transfermarkt.co.uk/cristiano-ronaldo/profil/spieler/8198
Curtis Davies,https://www.transfermarkt.co.uk/curtis-davies/profil/spieler/18227
Daley Blind,https://www.transfermarkt.co.uk/daley-blind/profil/spieler/12282
Damien Duff,https://www.transfermarkt.co.uk/damien-duff/profil/spieler/3259
Daniel Agger,https://www.transfermarkt.co.uk/daniel-agger/profil/spieler/22832
Daniel Sturridge,https://www.transfermarkt.co.uk/daniel-sturridge/profil/spieler/47082
Danny Graham,https://www.transfermarkt.co.uk/danny-graham/profil/spieler/29152
Danny Guthrie,https://www.transfermarkt.co.uk/danny-guthrie/profil/spieler/16716
Danny Higginbotham,https://www.transfermarkt.co.uk/danny-higginbotham/profil/spieler/3686
Danny Murphy,https://www.transfermarkt.co.uk/danny-murphy/profil/spieler/3221
Danny Simpson,https://www.transfermarkt.co.uk/danny-simpson/profil/spieler/37442
Danny Welbeck,https://www.transfermarkt.co.uk/danny-welbeck/profil/spieler/67063
Darren Bent,https://www.transfermarkt.co.uk/darren-bent/profil/spieler/13239
Darren Fletcher,https://www.transfermarkt.co.uk/darren-fletcher/profil/spieler/3547
Darron Gibson,https://www.transfermarkt.co.uk/darron-gibson/profil/spieler/42413
David de Gea,https://www.transfermarkt.co.uk/david-de-gea/profil/spieler/59377
David Dunn,https://www.transfermarkt.co.uk/david-dunn/profil/spieler/4243
David Luiz,https://www.transfermarkt.co.uk/david-luiz/profil/spieler/46741
David N'Gog,https://www.transfermarkt.co.uk/david-ngog/profil/spieler/41242
David Ospina,https://www.transfermarkt.co.uk/david-ospina/profil/spieler/73396
David Silva,https://www.transfermarkt.co.uk/david-silva/profil/spieler/35518
Declan Rice,https://www.transfermarkt.co.uk/declan-rice/profil/spieler/357662
Dejan Lovren,https://www.transfermarkt.co.uk/dejan-lovren/profil/spieler/37838
Dele Alli,https://www.transfermarkt.co.uk/dele-alli/profil/spieler/207929
Demba Ba,https://www.transfermarkt.co.uk/demba-ba/profil/spieler/40205
Denílson,https://www.transfermarkt.co.uk/denilson/profil/spieler/42352
Dimitar Berbatov,https://www.transfermarkt.co.uk/dimitar-berbatov/profil/spieler/65
Diogo Dalot,https://www.transfermarkt.co.uk/diogo-dalot/profil/spieler/357147
Diogo Jota,https://www.transfermarkt.co.uk/diogo-jota/profil/spieler/340950
Dirk Kuyt,https://www.transfermarkt.co.uk/dirk-kuyt/profil/spieler/4010
