Marcel Sabitzer
Conor Casey
Stefan Savic
Andrei Agius
Laurent Charvet
Robert Nikolic
Alf-Inge Haaland
Okan Aydin
Leart Paçarada
Stuart Ripley
Andrea Dacourt
Manuel Friedrich
Fraser Fyvie
Amiran Sanaia
Hamdan Al Kamali
Shio Fukuda
Samuel Ipoua
Ikechi Anya
Andriy Voronin
Facundo Bertoglio
Livio Nabab
Amidou Doumbouya
Jonas Meffert
Roope Riski
Blaise Nkufo
Dionatan Teixeira
Chris Anderson
Alex-Ray Harvey
Ruben Gabrielsen
Michael Thurk
Frederik Rönnow
Matt Elliott
Ian Marshall
Craig Forrest
Paul Kitson
Steve Potts
Jonas Erwig-Drüppel
Manuel Giandonato
Alessandro Vecchi
Nicola Bellomo
Wolfgang de Beer
Albert Streit
Souleymane Youla
Aljaz Struna
Sebastian Ernst
Stefan Wächter
Charlys
Deivid Washington
Julian de Guzmán
Ichem Ferrah
Mourad Benhamida
Jordan Ayew
Aliosman Aydin
Thibaut Courtois
Csaba Somogyi
Emmanuel Badu
Jonas Hector
Filippo Scardina
Demba N'Diaye
Nosa Igiebor
Yuya Osako
Demba N'Diaye
Serigne Faye
Chris Wood
Giordano Maccarrone
Pablo Gómez
Romain Andres
Ulises Dávila
Aymen Abdennour
Karim Guédé
Adam Matthews
Eddy Capron
Koen Casteels
Cédric Gimenez
Fiston Kuku
Dennis Bührer
Julien Valero
Christian Eichner
Leonardo Nunzella
Dedê
Flávio Ferreira
Dodô
Loïc Poujol
Nicolò Brighenti
Jan Zimmermann
Haris Seferovic
Emanuel Pogatetz
Oliver Hüsing
Kevin Gibbens
Moussa Saïb
Peer Kluge
Adrien Faviana
Romain Soler
Riccardo Perpetuini
Thomas Heurtaux
Romain Inez
Julien Outrebon
Ayyoub Bouaddi
Bruno Martignoni
Joffrey Cuffaut
Onel Hernández
Gianluca Korte
Raffael Korte
Tim Paterok
Alexander Rosen
Dominique Essome
Madimoussa Traoré
Fousseyni Cissé
Pierre Gibaud
Papa Amadou Diallo
Guy-Michel Landel
Valentin N'Kwelle
Georg Koch
Evanilson
Idrissa Sylla
Dominique Heintz
Eduardo
Dennis Weiland
Jean-Christophe Bouet
Julien Poueys
Gérard Roland
Justin-Noël Kalumba
Maka Mary
Serif Nhaga
Ansgar Brinkmann
Lucas Orbán
Gerardo Strumbo
Luca Mora
Sergio Araujo
Dario Del Fabro
Crescenzo Liccardo
Adriano Rossini
Damiano Zanon
Jonathan Mensah
Florent Cuvelier
Zsolt Tamási
Marnick Vermijl
Cheick Oumar Konaté
Roberto Bortolotto
Benik Afobe
Luke Garbutt
Gary Gardner
James Hurst
Sam Johnstone
Louis Laing
Jed Steer
Ryan Tunnicliffe
Florian Ballas
Mattia Perin
Francesco Bardi
Alessio Campoli
Lorenzo Crisetig
Simone Dell'Agnello
Francesco Finocchio
Marco Fossati
Alberto Libertazzi
Felice Natalino
Simone Sini
Frédéric Bulot
Ludovic Guimera
Mathieu Peybernes
Rémi Pillot
Mehdi Abeid
Dominique Agostini
Dennis Appiah
Ishak Belfodil
Florin Bérenguer
Zacharie Boucher
Jean-Christophe Coubronne
Pierrick Cros
Chris Gadi
Benjamin Jeannot
Amine Lecomte-Addani
Nampalys Mendy
Christopher Missilou
Yeni Ngbakoto
Idriss Saadi
Arnaud Souquet
Darnel Situ
Alassane També
Atila Turan
Ryan Allsop
Emil Forsberg
Javier Aquino
Ramiro Funes Mori
Kevin Long
Gaël Angoula
Ibou Sané
Sadibou Sané
Adama Bojang
Joël Veltman
Stefan de Vrij
Vragel da Silva
Vincent Demarconnay
Andrea Conti
Anthony Losilla
Philipp Max
Tim Rieder
Cédric Cambon
Rouven Schröder
Nicholas Costantini
Lorenzo Tonelli
Massimo Bruno
Sead Hajrovic
Neeskens Kebano
Benjamin Siegrist
Raphael Spiegel
Frédéric Veseli
Matteo Fedele
Granit Xhaka
Eric Bauthéac
Steven Paulle
John Tshibumbu
Chaher Zarour
Torsten Reuter
Rachid Aliaoui
Gaël Germany
Allan Nyom
Benjamin Oliveras
Matthieu Sans
Ahmed Hegazy
Mathieu Duhamel
Anthony Gonçalves
Thomas Kleine
Dani Ojeda
Ryan Mendes
Erik Lamela
Alejandro Bedoya
Ivo Ulich
Mohamed Chalali
Neto
Fransérgio
Emiliano Martínez
Takashi Usami
Giancarlo González
Markus Münch
Ju-ho Park
Suso
Bashiru Gambo
Maxime Barthelmé
Fabio Adobati
Simone Ciancio
Bruno Martins Indi
Júnior Caiçara
Sven Neuhaus
Roberto Pereyra
Manolo Gabbiadini
Marco Villanova
Alessandro Bassoli
Louise Parfait
Sérgio Oliveira
Jörg Albertz
Thomas Kläsener
Marcos Alonso
Andrey Lunev
Paul Papp
Matthias Lehmann
Philip Heise
Eliran Atar
Alessandro Longhi
Tomer Hemed
Oliver Fink
Karl-Johan Johnsson
Benito Raman
Mark Uth
Ulick Ludepe
Gürman Agac
Roger Carvalho
Cédric Soares
Sebastian Carlsén
Jörg Heinrich
Tudela
Paul Downing
Mario Pizarraya
Romaine Sawyers
Niklas Hult
Rubén Pérez
Alex Benvenga
Mario Janvier
André Molimenti
Germán Pezzella
Denis Wolf
Craig Burley
Julian Dudda
Neil Wood
Andreas Kaufmann
Dominik Wohlfarth
Sofiane Hanni
Aristote Lusinga
Juan Aranda
Curtis Fleming
Cristobal
Tihomir Bulat
Lee McCulloch
Mattia Lerda
Sergiu Suciu
Yonese Hanine
Antonio Lamenza
Mariano Romano
Alessio Viola
Kevin McNaughton
Craig Moore
Alan Morgan
Rémy Cabella
Matteo Bachini
Alexandru Ioniță I
Nikolce Noveski
Dany Nounkeu
Heiko Herrlich
Gavin Kelly
Enric Gallego
Greg Cunningham
Richie Towell
Fábio Espinho
Yunus Emre Konak
Cristian López
Gabriel Silva
Anselmo
Luke Brattan
Christofer Heimeroth
Luck Zogbé
Marco Küntzel
Juanma Herzog
Ilario Lamberti
Marlon Beresford
Niclas Weiland
Valerio Frasca
Zaza Zamtaradze
Hamed Namouchi
Marco Rojas
Victor Ikpeba
Raphael Schäfer
Lionel Carole
Juanpe
Guilherme
Gabriel Melkam
Bruno Zuculini
Viktor Unnar Illugason
Frank Kamalu
Jan Koller
Koray Günter
Silvio Schröter
Mateus Lusuardi
Dejan Stojanovic
Sead Kapetanovic
Marius Bülter
Philip Fontein
Javier Zanetti
Benedikt Röcker
Benjamin Barg
Issa Ndoye
Josef Ivanovic
Jim Brennan
Emir Granov
Yakubu Adamu
Adam Drury
Marcus Bettinelli
Courtney Harris
Reece Jones
Keanu Marsh-Brown
Alex Smith
Stephan Straub
Craig Fleming
Damien Francis
Fran Marmolejo
Stefan Lex
Rob Green
Ian Henderson
Gary Holt
Azbe Jug
Ryan Jarvis
Matthias Kleinsteiber
Axel Keller
Malky Mackay
Paul McVeigh
Phil Mulryne
Steve Müller
Kevin Behrens
Pawel Olkowski
Levent Ayçiçek
Marnon Busch
Cimo Röcker
Julian von Haacke
Chris Philipps
Aykut Özer
Rodri Ríos
Jason Shackell
Mahamadou Nagida
Aytac Sulu
Maximilian Arnold
Amadou Koné
Phil Jones
Jason Lowe
Benjamin Knoche
Patrick Ekeng
Cédric D'Ulivo
Charley Fomen
Namaie Mendy
Younès Belhanda
Thomas Bosmel
Dickson Nwakaeme
Michelangelo Rampulla
Marius Müller
Jean Zimmer
Ashley Eastham
Maxime Blanc
Xavier Chavalerin
Jordan Ferri
Rachid Ghezzal
Julian Michel
Harry Novillo
Mehdi Zeffane
Alessandro Schöpf
Tae-hee Nam
Hotaru Yamaguchi
Wilson Cuero
Michael Keane
Will Keane
Matty Lund
Ben Marshall
Cory Gibbs
Leonardo Spinazzola
Timo Staffeldt
Pablo Chavarría
Marlon Pack
Lars Schmedes
Stefano Layeni
Dominik Kohr
Ivan Ordets
Ishmael Yartey
Aitor Fernández
Jürgen Kohler
Fernando Uribe
Kaan Ayhan
Axel Borgmann
Philipp Hofmann
Marcel Sobottka
Loris Benito
Riad Nouri
Diego Falcinelli
Robert Leipertz
Frank Nouble
Mislav Orsic
Kadir Caidi
Ezequiel Schelotto
Aron Jóhannsson
Alin Bucuroiu
Noah Korczowski
Mitchell Weiser
Richmond Boakye
Luis Muriel
Karim Onisiwo
Carlos Bacca
Marco Costantino
Selim Ben Djemia
Shane Duffy
Yannick Gerhardt
Jannik Müller
Emre Can
Matteo Ciofani
Vincenzo Melillo
Joazhiño Arroé
Leonardo Blanchard
Andrea Conti
Federico Dionisi
Samuele Modica
Welle Ossou
Luca Simeoni
Mattia Gallon
Marco Ruzittu
Benoît Tardieu
Lorenzo Reyes
Jack Grimmer
Maurice Hirsch
Kenan Karaman
Marvin Wanitzek
Javi Lara
Alessandro Sbaffo
Peter Graulund
Miguel Ángel Luque
Toni Dovale
Marko Topic
Frank Lagana
Hugo Mallo
Michael Ortega
Harry Koch
Emmanuel Krontiris
Kassim Abdallah
José Campaña
Björn Laars
Yaya Diané
Pavol Bajza
Daniel Bachmann
Nikola Dovedan
Michael Gregoritsch
Lukas Jäger
Maksym Koval
Riccardo Pasi
Giacomo Venturi
Jazz Richards
Kossi Agassa
Ludovic Butelle
Benjamin Uphoff
Marco Toppmöller
Babacar Guèye
Eric Hassli
Jonathan Jäger
Gareth McKeown
Johan Liébus
Tressor Moreno
Sébastien Renouard
Sven Beuckert
René Klingenburg
Santiago Arias
Davide Bariti
Davide Pinato
Sebastián Gallegos
Andre Gray
Agustín Cousillas
Marvin Sordell
Kanga Akalé
Diafra Sakho
Alphonse Areola
Benjani
Emmanuel Emenike
Christophe Walter
Vincent Le Goff
Mattia Spezzani
Juan Carlos
Joe Mason
Elvijs Putnins
Hugo Cianci
Jonathan Tinhan
Dario D'Ambrosio
Knowledge Musona
Markus Mendler
Pablo Niño
Giorgio Siani
Mazhar Abdelrahman
Sylvain Marchal
Samuel Allegro
Schumann Bah
Franck Béria
Fraser Kerr
Stéphane Borbiconi
Ismaël Bouzid
Aïmen Demai
Dr. Philipp Laux
Stéphane Morisot
Franck Signorino
Mario Espartero
Alexandre Frutos
Stefano Russo
Grégory Leca
Ludovic Obraniak
Grégory Proment
Thomas Régnier
Per Kröldrup
Mehdi Méniri
Zesh Rehman
Kwesi Appiah
Callum Driver
Rob Hall
George Moncur
Glenn Whelan
Stephen Kelly
Jake Bidwell
Nathan Craig
Adam Davies
Tom Donegan
Adam Forshaw
Conor McAleny
Toto Nsiala
Ryan Watson
Michael Turner
Erdal Akdarı
Tom Carroll
Romain Sartre
Steven Caulker
Adrian Deane
Jake Nicholson
Mark DeBolla
Lloyd Sam
Blair Adams
Bryan Bergougnoux
John Egan
Matthew Fletcher
Jérémy Berthod
Craig Lynch
Liam Marrs
François Clerc
Ryan Noble
Julien Viale
Grant Hanley
Eirik Holmen Johansen
Jake Kean
Neil McCafferty
Josh Morris
Tommy Smith
Stacy Long
David Ball
Ahmad Benali
Chris Chantler
Omar Elabdellaoui
Abdisalam Ibrahim
Scott Kay
Mohamed Benhamou
Alex Nimely
Joan Román
Andrew Tutte
Reece Wabara
Michel Bastos
Jean-Michel Badiane
Emyr Huws
Craig Dawson
Selim Benachour
Jan Oblak
Lorik Cana
Chiguy Lucau
Reinaldo
Berkay Dabanli
Cristian Gamboa
Rômulo
Mamoutou Coulibaly
Juan Jesus
Wellington Silva
Jens Lehmann
Markus Henriksen
Thomas Cotty
Héctor Herrera
Nicolas de Préville
Paul Pogba
Willian José
Cristian Fiél
Sam Clucas
Iheb Mbarki
Éver Banega
Anicet
Willy Maeyens
Anthony Mfa Mezui
